date,close,volume,open,high,low
9/23/2016,5.51,1064139,5.65,5.68,5.465
9/22/2016,5.66,1515161,5.84,5.9,5.62
9/21/2016,5.72,2738428,5.38,5.76,5.344
9/20/2016,5.29,902929,5.33,5.385,5.24
9/19/2016,5.32,1343047,5.3,5.4,5.26
9/16/2016,5.31,5725930,5.24,5.33,5.18
9/15/2016,5.33,1870256,5.31,5.42,5.22
9/14/2016,5.34,2686999,5.3,5.35,5.26
9/13/2016,5.24,2519362,5.45,5.52,5.2
9/12/2016,5.56,3614435,5.42,5.61,5.23
9/9/2016,5.55,2049495,5.81,5.82,5.5136
9/8/2016,5.88,1339545,5.95,5.99,5.8
9/7/2016,5.96,1710541,6.01,6.01,5.76
9/6/2016,6.01,3502287,5.76,6.045,5.71
9/2/2016,5.62,2400587,5.63,5.73,5.45
9/1/2016,5.44,2234254,5.1,5.44,5.05
8/31/2016,5.15,2401748,5.4,5.4,5.12
8/30/2016,5.32,1833091,5.45,5.54,5.22
8/29/2016,5.52,1551416,5.39,5.6,5.32
8/26/2016,5.42,2478328,5.77,5.78,5.4
8/25/2016,5.56,2410351,5.44,5.58,5.39
8/24/2016,5.5,3292159,5.75,5.75,5.38
8/23/2016,5.85,1940303,6.13,6.18,5.85
8/22/2016,6.06,1485941,5.94,6.08,5.85
8/19/2016,6.04,4270361,6.23,6.2875,6.04
8/18/2016,6.4,1303839,6.38,6.44,6.32
8/17/2016,6.37,2618416,6.45,6.45,6.21
8/16/2016,6.49,1423756,6.6,6.65,6.4538
8/15/2016,6.59,1968887,6.58,6.655,6.531
8/12/2016,6.58,1488141,6.81,6.84,6.56
8/11/2016,6.68,1375687,6.72,6.85,6.67
8/10/2016,6.74,1852709,6.91,6.92,6.675
8/9/2016,6.73,1692058,6.81,6.91,6.69
8/8/2016,6.8,1370771,6.78,6.916,6.7299
8/5/2016,6.77,2295742,6.9,6.96,6.7
8/4/2016,7.13,3113075,7.01,7.17,6.98
8/3/2016,6.96,3111747,7.09,7.19,6.91
8/2/2016,7.12,2216934,7.11,7.27,7.09
